ts,site_id,device_id,measurement,unit,value
2026-04-19T21:00:00Z,demo-site,bess_module_01,state_of_charge,percent,95.0
2026-04-19T21:00:00Z,demo-site,bess_module_01,active_power,watts,-1743053.6
2026-04-19T21:00:00Z,demo-site,bess_module_01,dam_dispatch_w,watts,-1735849.1
2026-04-19T21:00:00Z,demo-site,bess_module_01,rtm_dispatch_w,watts,-7204.5
2026-04-19T21:00:00Z,demo-site,bess_module_02,state_of_charge,percent,95.0
2026-04-19T21:00:00Z,demo-site,bess_module_02,active_power,watts,-2217907.6
2026-04-19T21:00:00Z,demo-site,bess_module_02,dam_dispatch_w,watts,-2209262.4
2026-04-19T21:00:00Z,demo-site,bess_module_02,rtm_dispatch_w,watts,-8645.2
2026-04-19T21:00:00Z,demo-site,compute_module_01,active_power,watts,823455.4
2026-04-19T21:00:00Z,demo-site,compute_module_01,gpu_utilization,percent,68.62
2026-04-19T21:00:00Z,demo-site,revenue_meter_01,settlement_power,watts,4784416.6
2026-04-19T21:00:00Z,demo-site,cdu_01,inlet_temperature,celsius,20.56
2026-04-19T21:00:00Z,demo-site,cdu_01,outlet_temperature,celsius,32.85
2026-04-19T21:00:00Z,demo-site,market_01,dam_clearing_price_usd_per_mwh,usd_per_mwh,0.32
2026-04-19T21:00:00Z,demo-site,market_01,rtm_clearing_price_usd_per_mwh,usd_per_mwh,-1.926
2026-04-19T22:00:00Z,demo-site,bess_module_01,state_of_charge,percent,94.55
2026-04-19T22:00:00Z,demo-site,bess_module_01,active_power,watts,16615.9
2026-04-19T22:00:00Z,demo-site,bess_module_01,dam_dispatch_w,watts,0.0
2026-04-19T22:00:00Z,demo-site,bess_module_01,rtm_dispatch_w,watts,16615.9
2026-04-19T22:00:00Z,demo-site,bess_module_02,state_of_charge,percent,95.0
2026-04-19T22:00:00Z,demo-site,bess_module_02,active_power,watts,-13366.9
2026-04-19T22:00:00Z,demo-site,bess_module_02,dam_dispatch_w,watts,0.0
2026-04-19T22:00:00Z,demo-site,bess_module_02,rtm_dispatch_w,watts,-13366.9
2026-04-19T22:00:00Z,demo-site,compute_module_01,active_power,watts,800306.1
2026-04-19T22:00:00Z,demo-site,compute_module_01,gpu_utilization,percent,66.69
2026-04-19T22:00:00Z,demo-site,revenue_meter_01,settlement_power,watts,797057.0
2026-04-19T22:00:00Z,demo-site,cdu_01,inlet_temperature,celsius,20.09
2026-04-19T22:00:00Z,demo-site,cdu_01,outlet_temperature,celsius,33.28
2026-04-19T22:00:00Z,demo-site,market_01,dam_clearing_price_usd_per_mwh,usd_per_mwh,1.0
2026-04-19T22:00:00Z,demo-site,market_01,rtm_clearing_price_usd_per_mwh,usd_per_mwh,2.745
2026-04-19T23:00:00Z,demo-site,bess_module_01,state_of_charge,percent,93.65
2026-04-19T23:00:00Z,demo-site,bess_module_01,active_power,watts,32831.8
2026-04-19T23:00:00Z,demo-site,bess_module_01,dam_dispatch_w,watts,0.0
2026-04-19T23:00:00Z,demo-site,bess_module_01,rtm_dispatch_w,watts,32831.8
2026-04-19T23:00:00Z,demo-site,bess_module_02,state_of_charge,percent,94.85
2026-04-19T23:00:00Z,demo-site,bess_module_02,active_power,watts,5525.4
2026-04-19T23:00:00Z,demo-site,bess_module_02,dam_dispatch_w,watts,0.0
2026-04-19T23:00:00Z,demo-site,bess_module_02,rtm_dispatch_w,watts,5525.4
2026-04-19T23:00:00Z,demo-site,compute_module_01,active_power,watts,777850.4
2026-04-19T23:00:00Z,demo-site,compute_module_01,gpu_utilization,percent,64.82
2026-04-19T23:00:00Z,demo-site,revenue_meter_01,settlement_power,watts,739493.2
